ReviewID,ServiceID,ReviewDate,ReviewedBy,ZeroCostStatus,ZeroCostNotes,MonetizationCandidateIdea,MonetizationReviewedBy,ApprovalStage,Notes
REV-MONDASH-001,SRV-MONDASH-001,2026-07-17,Dorris Fontaine,Verified,"Self-hosted Prometheus/Loki only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-NOTIF-001,SRV-NOTIF-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/notifications/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-THEGRID-001,SRV-THEGRID-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/the-grid/","Could expose workflow templates as a paid marketplace item - unreviewed idea (duplicate angle to REV-GRID-001, needs reconciling which Grid this applies to)",The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-PRODUCTS-001,SRV-PRODUCTS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/products-service/","This is already a commercial-domain service (Arcadian Exchange product catalogue) - real monetization review belongs to Arcadian Exchange's own business model, not a platform-infra suggestion",The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ORDERS-001,SRV-ORDERS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/orders-service/worker.py - own docstring confirms 'FastAPI + SQLite, no external dependencies'",Already a commercial-domain service - see REV-PRODUCTS-001 note,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-PAYMENTS-001,SRV-PAYMENTS-001,2026-07-17,Dorris Fontaine,Verified,"CORRECTION: workers/payments-service/worker.py has NO Stripe or any external payment-processor call at all - it is a purely internal SQLite ledger (accounts/transfers/deposits/AUM) per its own docstring 'FastAPI + SQLite, no external dependencies'. The actual Stripe integration lives entirely in src/monetisation/billing.py (StripeBillingManager, mounted on tranc3-backend), a separate subsystem from this worker - this row's prior note conflated the two",Already a commercial-domain service - see REV-PRODUCTS-001 note,The Porter Family,Not applicable - infrastructure,"Reviewed this session - the real Stripe billing path is src/monetisation/billing.py, not workers/payments-service"
REV-FILES-001,SRV-FILES-001,2026-07-17,Dorris Fontaine,Verified,"No paid API key pattern found in workers/files-service/worker.py - bridges self-hosted Paperless-ngx, Stirling PDF, Gotenberg, Apache Tika, and local IPFS per its own docstring, all matching CLAUDE.md's recommended self-hosted foundations, with an adaptive fallback chain if one backend is unavailable",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-IDENTITY-001,SRV-IDENTITY-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/identity-service/worker.py - own docstring confirms 'FastAPI + SQLite, no external dependencies'",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ARTIFACTORY-001,SRV-ARTIFACTORY-001,2026-07-17,Dorris Fontaine,Verified,"No paid API key pattern found in workers/artifactory-service/worker.py - bridges self-hosted Zot OCI registry with a Gitea packages API and local filesystem fallback chain per its own docstring, matching its stated 'Zero-cost mandate'",Could offer a premium/private artifact hosting tier once usage data exists - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-CRYPTEX-001,SRV-CRYPTEX-001,2026-07-17,Dorris Fontaine,Flagged,"Depends on Wazuh/MISP/OpenVAS - all self-hostable open-source per CLAUDE.md's Recommended Open Source Foundations table, but not independently verified this session whether the deployed instances are actually self-hosted vs a paid SaaS tier",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Cost status needs the Wazuh/MISP/OpenVAS deployment itself checked, not just cryptex's own code"
REV-ICEBOX-001,SRV-ICEBOX-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/ice-box-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-WARPTUNNEL-001,SRV-WARPTUNNEL-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/warp-tunnel/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-HEALTHAGG-001,SRV-HEALTHAGG-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/health-aggregator/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ANALYTICS-001,SRV-ANALYTICS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/analytics-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-SEARCH-001,SRV-SEARCH-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/search-service/",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-EMAIL-001,SRV-EMAIL-001,2026-07-17,Dorris Fontaine,Verified,"Log-only until SMTP_HOST configured - genuinely zero-cost by design in its current state",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LANGCHAIN-001,SRV-LANGCHAIN-001,2026-07-17,Dorris Fontaine,Verified,"No external paid API calls found in workers/langchain-integration-service/worker.py",Could offer managed RAG/agent-chain templates as a paid API Marketplace item once usage data exists - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LLAMAINDEX-001,SRV-LLAMAINDEX-001,2026-07-17,Dorris Fontaine,Verified,"Only external dependency is OPENROUTER_API_KEY, an approved zero-cost provider per config/zero_cost/providers.yaml",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-HAYSTACK-001,SRV-HAYSTACK-001,2026-07-17,Dorris Fontaine,Verified,"Only external dependency is OPENROUTER_API_KEY, an approved zero-cost provider per config/zero_cost/providers.yaml",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-DSPY-001,SRV-DSPY-001,2026-07-17,Dorris Fontaine,Verified,"Only external dependency is OPENROUTER_API_KEY, an approved zero-cost provider per config/zero_cost/providers.yaml",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-MLFLOW-001,SRV-MLFLOW-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/mlflow-service/worker.py - self-hosted experiment tracking only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LITELLM-001,SRV-LITELLM-001,2026-07-17,Dorris Fontaine,Flagged,"This IS the zero-cost AI proxy itself - depends entirely on which providers are configured behind it; not independently re-verified this session against config/zero_cost/providers.yaml's approved list beyond confirming httpx usage",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Needs a dedicated review of its actual configured provider list, not just its own code"
REV-SENTINEL-001,SRV-SENTINEL-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/sentinel-station-service/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-SWARM-001,SRV-SWARM-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/swarm-coordinator-service/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome; health_entity_block port bug fixed this session (unrelated to cost)"
REV-DIMNEXUS-001,SRV-DIMNEXUS-001,2026-07-17,Dorris Fontaine,Not applicable,"Still not deployed - a real port 8050 collision with blender-worker, not a missing compose entry as previously noted - cannot incur any runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Zero-cost by default because the service does not run - build itself is now fixed, see 02_service_inventory.csv Notes"
REV-HIVE-001,SRV-HIVE-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/hive-service/worker.py - purely internal FastAPI + SQLite, no paid dependency in the code that exists",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Zero-cost verified at the code level even though the service cannot currently build - see 02_service_inventory.csv Notes"
REV-IMAGINARIUM-001,SRV-IMAGINARIUM-001,2026-07-17,Dorris Fontaine,Verified,"httpx calls in workers/imaginarium/worker.py target internal Trancendos services (Fabulousa/TateKing/TranceFlow/Studio/Photo), not external paid APIs",Could bundle its orchestrated creative services into a paid all-in-one tier once individual services have their own pricing - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-STUDIOWORKER-001,SRV-STUDIOWORKER-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/the-studio/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-ACADEMY-001,SRV-ACADEMY-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/the-academy/worker.py",Could sell premium courses/certifications via a paid tier once the LMS content model exists - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-DUTCHY-001,SRV-DUTCHY-001,2026-07-17,Dorris Fontaine,Verified,"httpx calls in workers/the-dutchy/worker.py appear internal-only, no external paid API key pattern found",Could sell market-analysis reports/data feeds as a paid subscription once the intelligence output is production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-TURINGSHUB-001,SRV-TURINGSHUB-001,2026-07-17,Dorris Fontaine,Verified,"httpx calls in workers/turings-hub-service/worker.py appear internal-only, no external paid API key pattern found",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome; three deployment bugs fixed this session (unrelated to cost)"
REV-TRANCEFLOW-001,SRV-TRANCEFLOW-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/tranceflow/worker.py",Could sell published games/3D assets via a marketplace cut once TranceFlow's Godot integration is live - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LAB-001,SRV-LAB-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/the-lab/worker.py",Could offer premium AI code-review/generation credits once usage data exists - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LABSVC-001,SRV-LABSVC-001,2026-07-17,Dorris Fontaine,Verified,"Only external dependencies are HF_API_KEY (HuggingFace free tier) and OPENROUTER_API_KEY (OpenRouter free models), both approved zero-cost providers per config/zero_cost/providers.yaml",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-LIBRARY-001,SRV-LIBRARY-001,2026-07-17,Dorris Fontaine,Flagged,"Rotates across Outline/BookStack/Wiki.js/Gollum/DokuWiki/MkDocs/Gitea/TiddlyWiki via OUTLINE_API_KEY etc - all self-hostable open-source per CLAUDE.md's recommended foundations table, but the actual deployed instances behind these keys were not independently verified as self-hosted vs a paid SaaS tier this session (same caveat already logged for REV-CRYPTEX-001's Wazuh/MISP/OpenVAS)",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Needs the actual backing wiki instance(s) checked, not just library-service's own code"
REV-BASEMENT-001,SRV-BASEMENT-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/basement/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome; dead-code PORT default documented, not fixed (unrelated to cost)"
REV-DEVOCITY-001,SRV-DEVOCITY-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/devocity/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome; dead-code PORT default documented, not fixed (unrelated to cost)"
REV-WARPRADIO-001,SRV-WARPRADIO-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/warp-radio/worker.py",Could offer premium ad-free streaming or curated stations as a paid tier once the feature is production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-TAIMRA-001,SRV-TAIMRA-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/taimra/worker.py",Could offer a premium digital-twin tier with expanded memory/context once the feature is production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome - handles sensitive personal data, any monetization idea here needs extra privacy scrutiny before Cornelius/Human review"
REV-IMIND-001,SRV-IMIND-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/imind/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome - handles emotional/sensitive data, any monetization idea here needs extra privacy scrutiny before Cornelius/Human review"
REV-RESONATE-001,SRV-RESONATE-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/resonate/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome - handles empathy/emotional data, any monetization idea needs extra privacy scrutiny"
REV-TRANQUILITY-001,SRV-TRANQUILITY-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/tranquility/worker.py",Could offer a premium guided-wellbeing content tier once the feature is production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-BACKUP-001,SRV-BACKUP-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/backup-service/worker.py - self-hosted local/IPFS backup only per its own imports of src.backup",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-CHAOSPARTY-001,SRV-CHAOSPARTY-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/chaos-party/worker.py",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-FABULOUSA-001,SRV-FABULOUSA-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/fabulousa-service/worker.py",Could offer premium design templates or Penpot-integration features as a paid tier once built - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-SASHASPHOTO-001,SRV-SASHASPHOTO-001,2026-07-17,Dorris Fontaine,Verified,"No external paid API key pattern found in workers/sashas-photo-studio/main.py",Could offer paid image-generation credits once Stable Diffusion/ComfyUI backend is production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-TATEKING-001,SRV-TATEKING-001,2026-07-17,Dorris Fontaine,Verified,"No external paid API key pattern found in workers/tateking/main.py",Could offer paid video-rendering credits or a premium editing tier once production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-VRAR3D-001,SRV-VRAR3D-001,2026-07-17,Dorris Fontaine,Flagged,"SKETCHFAB_API_KEY is optional and unconfigured by default (feature is inert unless set), but Sketchfab is not listed anywhere in config/zero_cost/providers.yaml or ZeroCostEnforcer's BLOCKED_SERVICES, so its actual free-tier limits have never been reviewed by Dorris - same governance gap already flagged for Together.ai/DeepSeek in workers/infinity-ai before this session's partial fix",Could offer paid premium 3D asset packs or Sketchfab-sourced content bundles once reviewed - unreviewed idea,The Porter Family,Pending Dorris review of Sketchfab's actual free-tier terms,"Real gap found this session, not yet closed - two unrelated port/env-var bugs in the same service were fixed"
REV-INFVOID-001,SRV-INFVOID-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-void/worker.py - purely local AES-256-GCM + SQLite + in-memory rate limiting, matching the platform's zero-cost self-hosted vault design exactly",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Discovered this session as a third, working Void implementation distinct from vault-service and the-void - see 02_service_inventory.csv SRV-VOID-001 Notes for the full comparison"
REV-WS-001,SRV-WS-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/infinity-ws/worker.py - JWT verification and in-process WebSocket routing only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Service itself was missing from this workbook entirely until this session - added along with a real import-bug fix"
REV-APIGW-001,SRV-APIGW-001,2026-07-17,Dorris Fontaine,Verified,"No external paid calls found in workers/api-gateway/worker.py - proxies to internal services only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Service itself was missing from this workbook entirely until this session - added along with a real import-bug fix"
REV-TRIPOSR-001,SRV-TRIPOSR-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/triposr-worker/worker.py - TripoSR itself runs locally if installed",Could offer paid premium 3D-from-image credits once production-grade - unreviewed idea,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome; real port bug fixed this session (unrelated to cost)"
REV-BLENDER-001,SRV-BLENDER-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/blender-worker/worker.py - self-hosted Blender headless rendering only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-FFMPEG-001,SRV-FFMPEG-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/ffmpeg-worker/worker.py - self-hosted FFmpeg transcoding only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-REMOTION-001,SRV-REMOTION-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/remotion-render-service/server.js - self-hosted Remotion rendering only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-BULLMQ-001,SRV-BULLMQ-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/bullmq-queue-service/server.js - self-hosted BullMQ + Valkey only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-GATEWAY-001,SRV-GATEWAY-001,2026-07-17,Dorris Fontaine,Not applicable,"Not deployed - no compose entry, cannot incur any runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Build itself fixed this session even though undeployed - see 02_service_inventory.csv Notes"
REV-TRANC3AI-001,SRV-TRANC3AI-001,2026-07-17,Dorris Fontaine,Verified,"No external calls found in workers/tranc3-ai/worker.py - proxies to internal tranc3-backend only",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-OPTHEALTH-001,SRV-OPTHEALTH-001,2026-07-17,Dorris Fontaine,Not applicable,"Not deployed - no compose entry, cannot incur any runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Candidate idea only, not a decided outcome"
REV-MONITORGO-001,SRV-MONITORGO-001,2026-07-17,Dorris Fontaine,Not applicable,"Not deployed and not code-reviewed this session (Go) - cannot incur runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Needs a dedicated Go-focused review pass"
REV-QUEUEGO-001,SRV-QUEUEGO-001,2026-07-17,Dorris Fontaine,Not applicable,"Not deployed and not code-reviewed this session (Go) - cannot incur runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Needs a dedicated Go-focused review pass"
REV-RATELIMITGO-001,SRV-RATELIMITGO-001,2026-07-17,Dorris Fontaine,Not applicable,"Not deployed and not code-reviewed this session (Go) - cannot incur runtime cost either way",Internal infrastructure - no external monetization angle identified,The Porter Family,Not applicable - infrastructure,"Needs a dedicated Go-focused review pass"
REV-CRANBANIA-001,SRV-CRANBANIA-001,2026-07-17,Dorris Fontaine,Not yet reviewed,"Submodule not checked out in this environment - cannot verify external calls/API keys this session","Already a governance/PM tool, not a typical monetization angle - not reviewed",The Porter Family,Not applicable - infrastructure,"Genuinely unreviewed - needs the submodule actually checked out to audit"
