DeploymentID,ServiceID,ApplicationID,EnvironmentID,Owner,StatusCode,StatusLabel,DeploymentDate,DeploymentDuration,CommitHash,CommitMessage,ArtifactDigest,ArtifactVersion,PipelineRunID,PipelineURL,PreviousDeploymentID,RollbackDeploymentID,HealthCheckStatus,SecurityScanStatus,ComplianceCheckStatus,CanaryDeployment,CanaryPercentage,BlueGreenDeployment,FeatureFlags,DataMigrationRequired,RollbackAuthorized,ApprovedBy,ApprovalDate,Notes
DEP-BRIDGE-001,SRV-BRIDGE-001,APP-BRIDGE-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-29T20:59:23Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,"Security hardening: defusedxml XXE, secrets CSPRNG, Cosmos DB parameterization, nosec B104 annotations (#177)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-bridge-service/ - artifact and pipeline columns intentionally blank
DEP-USERS-001,SRV-USERS-001,APP-USERS-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-29T20:59:23Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,"Security hardening: defusedxml XXE, secrets CSPRNG, Cosmos DB parameterization, nosec B104 annotations (#177)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/users-service/ - artifact and pipeline columns intentionally blank
DEP-MONDASH-001,SRV-MONDASH-001,APP-MONDASH-001,ENV-005,Norman Hawkins,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/monitoring/ - artifact and pipeline columns intentionally blank
DEP-NOTIF-001,SRV-NOTIF-001,APP-NOTIF-001,ENV-005,Lilli SC,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/notifications/ - artifact and pipeline columns intentionally blank
DEP-AI-001,SRV-AI-001,APP-AI-001,ENV-005,Cornelius MacIntyre,STS-004,Active,2026-07-12T01:10:30Z,,a3df9128b51b05cc5324f2be938f69f1b07113c6,"Add role/access/relations registries, academy badges, DSM/ESM governance (#210)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-ai/ - artifact and pipeline columns intentionally blank
DEP-THEGRID-001,SRV-THEGRID-001,APP-THEGRID-001,ENV-005,Tyler Towncroft,STS-004,Active,2026-07-09T15:45:33Z,,7465a8cb429f31188405d2d4e30be1be0360b081,fix: cdn-service path traversal + the-grid Docker build gap,,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/the-grid/ - artifact and pipeline columns intentionally blank
DEP-PRODUCTS-001,SRV-PRODUCTS-001,APP-PRODUCTS-001,ENV-005,The Porter Family,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/products-service/ - artifact and pipeline columns intentionally blank
DEP-ORDERS-001,SRV-ORDERS-001,APP-ORDERS-001,ENV-005,The Porter Family,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/orders-service/ - artifact and pipeline columns intentionally blank
DEP-PAYMENTS-001,SRV-PAYMENTS-001,APP-PAYMENTS-001,ENV-005,Dorris Fontaine,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/payments-service/ - artifact and pipeline columns intentionally blank
DEP-FILES-001,SRV-FILES-001,APP-FILES-001,ENV-005,To be Defined,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/files-service/ - artifact and pipeline columns intentionally blank
DEP-IDENTITY-001,SRV-IDENTITY-001,APP-IDENTITY-001,ENV-005,Rocking Ricki,STS-004,Active,2026-07-03T05:29:24Z,,634962c2d6674a7d5b068976c3091b7512277d06,fix(workers): use 'or' fallback for PORT (handles empty PORT env),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/identity-service/ - artifact and pipeline columns intentionally blank
DEP-ARTIFACTORY-001,SRV-ARTIFACTORY-001,APP-ARTIFACTORY-001,ENV-005,Lunascene,STS-004,Active,2026-07-09T14:30:29Z,,78d4d58cc5bd5779a2785926dfe75b196f8701dd,docs: real Live-tier doc-pack for I-Mind + fix self-harm severity bug + auth hardening,,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/artifactory-service/ - artifact and pipeline columns intentionally blank
