ReviewID,ServiceID,ReviewDate,ReviewedBy,AuthMechanism,AuthMechanismNotes,DataClassification,DifferentiatesUserAIAgentBot,RecommendedAction,Notes
ACR-BLENDER-001,SRV-BLENDER-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-DSPY-001,SRV-DSPY-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-FFMPEG-001,SRV-FFMPEG-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-FILES-001,SRV-FILES-001,2026-07-18,The Guardian,INTERNAL_SECRET-equivalent,"CORRECTION to this review's own first pass: this service DOES have a baseline check - async def _auth(x_internal_token: str = Header(...)) wired via Depends(_auth) on the /api router, reading INTERNAL_SERVICE_TOKEN. Missed by the initial grep sweep because it doesn't use the literal string INTERNAL_SECRET - a naming-variance false negative, not a real gap",DC-003,FALSE,Upgrade to RBAC/ABAC given DC-003 classification,"Not a zero-auth service after all - corrected before this review was finalized, not left inaccurate"
ACR-HAYSTACK-001,SRV-HAYSTACK-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-SHARDS-001,SRV-SHARDS-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found - notable since this is part of the Infinity security family by name, but unlike its 4 siblings never got RBAC/ABAC wired in, and its own encrypted_sqlite dependency (fixed this session) suggests it was meant to be treated as sensitive",DC-003,FALSE,URGENT - add RBAC/ABAC to match its Infinity-family siblings,"Should follow the same pattern as infinity-admin/one/portal-service, not be the exception"
ACR-LITELLM-001,SRV-LITELLM-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found - this is the zero-cost AI proxy itself, routing to whatever providers are configured",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Also flagged in 18_cost_and_revenue_review.csv REV-LITELLM-001 for a different reason (provider list needs review) - two separate real gaps on the same service"
ACR-LLAMAINDEX-001,SRV-LLAMAINDEX-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-MLFLOW-001,SRV-MLFLOW-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-OPTHEALTH-001,SRV-OPTHEALTH-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found - but service is undeployed",DC-002,FALSE,Add INTERNAL_SECRET baseline before deployment,"Low urgency given non-deployment"
ACR-TRANC3AI-001,SRV-TRANC3AI-001,2026-07-18,The Guardian,Bearer/delegated-auth,"CORRECTION to this review's own first pass: has a real verify_auth(authorization) function requiring a Bearer token, delegating verification to infinity-auth's /api/v1/auth/me and returning role info - missed by the initial grep sweep (doesn't match INTERNAL_SECRET/JWT_SECRET/RBACEngine patterns). Has a dev-mode bypass when AUTH_URL is unset and ENVIRONMENT != production - worth confirming that bypass can't leak into a real deployment",DC-002,FALSE (role info returned but not enforced via RBACEngine),Wire returned role into RBACEngine rather than leaving it unused,"Not a zero-auth service after all - corrected before this review was finalized. The dev-mode bypass condition is worth a dedicated look, separate from this review"
ACR-TRIPOSR-001,SRV-TRIPOSR-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
ACR-TURINGSHUB-001,SRV-TURINGSHUB-001,2026-07-18,The Guardian,None detected,"No auth mechanism of any kind found",DC-002,FALSE,Add INTERNAL_SECRET baseline,"Candidate for near-term baseline fix, not urgent"
