ID,Tier,Type,Name,Location,Pillar,Description
SID-SPS-02,4,Agent Beta,Prompt-Smith,Sashas Photo Studio,Creativity,Optimizes prompts into tags for generation engines.
NID-SPS-01,5,Bot 01,Aperture-Bot,Sashas Photo Studio,Creativity,"Adjusts focus matrices, blur, and depth of field."
NID-SPS-02,5,Bot 02,Shutter-Bot,Sashas Photo Studio,Creativity,Triggers high-speed renders to output flat image layers.
NID-SPS-03,5,Bot 03,Flash-Bot,Sashas Photo Studio,Creativity,"Regulates light direction, balance, and HDR variables."
NID-SPS-04,5,Bot 04,Lens-Bot,Sashas Photo Studio,Creativity,Fixes perspective distortions and lens anomalies.
AID-TFL-01,3,Lead AI,Junior Cesar,TranceFlow,Creativity,3D Modeling & Games Creation Studio
SID-TFL-01,4,Agent Alpha,Mesh-Weaver,TranceFlow,Creativity,Synthesizes wireframes and converts data to meshes.
SID-TFL-02,4,Agent Beta,The Physicist,TranceFlow,Creativity,Calculates rigid body dynamics and object collision.
NID-TFL-01,5,Bot 01,Voxel-1-Bot,TranceFlow,Creativity,Generates grid-based blocks and terrain geometries.
NID-TFL-02,5,Bot 02,Collider-Bot,TranceFlow,Creativity,Monitors boundary boxes for collision scripts.
NID-TFL-03,5,Bot 03,Ray-Tracer-Bot,TranceFlow,Creativity,"Handles lighting paths, reflections, and shadows."
NID-TFL-04,5,Bot 04,Sprite-Bot,TranceFlow,Creativity,Renders fast 2D graphics and UIs over 3D spaces.
AID-TKG-01,3,Lead AI,Benji Tate & Sam King,TateKing,Creativity,Video Creation & Editing Platform
SID-TKG-01,4,Agent Alpha,The Director,TateKing,Creativity,Coordinates timeline-as-code scripting from video data.
SID-TKG-02,4,Agent Beta,The Editor,TateKing,Creativity,"Suggests cuts, music shifts, and scene transitions."
NID-TKG-01,5,Bot 01,Cutter-Bot,TateKing,Creativity,Slices video and audio tracks at precise timestamps.
NID-TKG-02,5,Bot 02,Splicer-Bot,TateKing,Creativity,Joins video clips and audio tracks into unified tracks.
NID-TKG-03,5,Bot 03,Renderer-Bot,TateKing,Creativity,Compresses/outputs video files into target formats.
NID-TKG-04,5,Bot 04,Scrubber-Bot,TateKing,Creativity,"Generates fast, low-res preview frames for the timeline."
AID-FAB-01,3,Lead AI,Baron Von Hilton,Fabulousa,Creativity,"Styling, UX, UI & Design Center"
SID-FAB-01,4,Agent Alpha,The Tailor,Fabulousa,Creativity,Adapts interface layouts/fonts based on user profiles.
SID-FAB-02,4,Agent Beta,The Weaver,Fabulousa,Creativity,Converts visual mockups into clean HTML/CSS/components.
NID-FAB-01,5,Bot 01,Pixel-Pusher-Bot,Fabulousa,Creativity,Adjusts components to the pixel for visual alignment.
NID-FAB-02,5,Bot 02,Hex-Code-Bot,Fabulousa,Creativity,Verifies color accuracy and dynamic CSS themes.
NID-FAB-03,5,Bot 03,Font-Fetcher-Bot,Fabulousa,Creativity,Loads and handles web typography assets/fallbacks.
NID-FAB-04,5,Bot 04,Padding-Bot,Fabulousa,Creativity,Calculates margins and responsive flex properties.
AID-IMG-01,3,Lead AI,Voxx,Imaginarium,Creativity,Omni-Creative Masterpiece Wizard
SID-IMG-01,4,Agent Alpha,The Alchemist,Imaginarium,Creativity,Translates product plans into multi-app design sequences.
SID-IMG-02,4,Agent Beta,The Architect,Imaginarium,Creativity,Bridges visual layouts with structural code bindings.
NID-IMG-01,5,Bot 01,Mixer-Bot,Imaginarium,Creativity,"Groups images, media, and 3D files into unified folders."
NID-IMG-02,5,Bot 02,Blender-Bot,Imaginarium,Creativity,"Resolves layer conflicts when combining 2D, 3D, and UI."
NID-IMG-03,5,Bot 03,Welder-Bot,Imaginarium,Creativity,Links user input triggers in the UI directly to backend functions.
NID-IMG-04,5,Bot 04,Polisher-Bot,Imaginarium,Creativity,"Runs final visual sweeps on lighting, styling, and alignment."
AID-DGR-01,3,Lead AI,Tyler Towncroft,The Digital Grid,Development (Code),Workflow Platform
SID-DGR-01,4,Agent Alpha,The Flow-Weaver,The Digital Grid,Development (Code),"Weaves APIs, webhooks, and scripts into execution steps."
SID-DGR-02,4,Agent Beta,Event-Broker,The Digital Grid,Development (Code),"Monitors webhooks, sending signals for automated triggers."
NID-DGR-01,5,Bot 01,Trigger-Bot,The Digital Grid,Development (Code),Detects events and instantly launches the automation sequence.
NID-DGR-02,5,Bot 02,Action-Bot,The Digital Grid,Development (Code),"Runs data changes, logs updates, or makes API calls."
NID-DGR-03,5,Bot 03,Condition-Bot,The Digital Grid,Development (Code),"Evaluates true/false logic, directing workflow paths."
NID-DGR-04,5,Bot 04,Loop-Bot,The Digital Grid,Development (Code),Runs batch processing tasks over lists to prevent freezes.
AID-LAB-01,3,Lead AI,The Dr. & Slime,The Lab,Development (Code),Code Creation Platform
SID-LAB-01,4,Agent Alpha,The Hounds,The Lab,Development (Code),Searches sandbox code for syntax errors and memory leaks.
SID-LAB-02,4,Agent Beta,Syntax-Sage,The Lab,Development (Code),"Reads active scripts, suggesting code optimization patterns."
NID-LAB-01,5,Bot 01,Lint-Bot,The Lab,Development (Code),Formats and styles code to match company guidelines.
NID-LAB-02,5,Bot 02,Compile-Bot,The Lab,Development (Code),"Runs rapid, isolated builds to verify code compilation."
NID-LAB-03,5,Bot 03,Debug-Bot,The Lab,Development (Code),"Inspects runtime stacks, pinpointing errors to the exact line."
NID-LAB-04,5,Bot 04,Test-Bot,The Lab,Development (Code),"Runs automated code tests, reporting pass/fail ratios."
AID-WRK-01,3,Lead AI,Larry Lowhammer,The Workshop,Development (Code),Repository Storage (Forgejo)
SID-WRK-01,4,Agent Alpha,Branch-Manager,The Workshop,Development (Code),"Tracks active code branches, conflicts, and pull requests."
SID-WRK-02,4,Agent Beta,Merge-Master,The Workshop,Development (Code),"Safely merges code branches, guiding users through conflicts."
NID-WRK-01,5,Bot 01,Commit-Bot,The Workshop,Development (Code),"Packages file revisions with clear, automated descriptions."
NID-WRK-02,5,Bot 02,Push-Bot,The Workshop,Development (Code),Uploads locally saved code changes to the central Forgejo system.
NID-WRK-03,5,Bot 03,Pull-Bot,The Workshop,Development (Code),Fetches and updates local folders with the latest repo commits.
NID-WRK-04,5,Bot 04,Clone-Bot,The Workshop,Development (Code),"Replicates repositories, setting up fresh workspace folders."
AID-TCP-01,3,Lead AI,The Mad Hatter,The Chaos Party,Development (Code),Central Testing Platform (Wonderland Theme)
SID-TCP-01,4,Agent Alpha,The March Hare,The Chaos Party,Development (Code),Sends rapid mock inputs and payloads to stress-test systems.
SID-TCP-02,4,Agent Beta,The Dormouse,The Chaos Party,Development (Code),"Sits silently in tests, measuring memory leaks/performance dips."
NID-TCP-01,5,Bot 01,Teapot-Bot,The Chaos Party,Development (Code),Spams server endpoints with massive requests to test load limits.
NID-TCP-02,5,Bot 02,Pocket-Watch-Bot,The Chaos Party,Development (Code),Tracks API response times during load spikes for latency alerts.
NID-TCP-03,5,Bot 03,Sugar-Cube-Bot,The Chaos Party,Development (Code),Generates messy mockup databases to test bad dataset handling.
NID-TCP-04,5,Bot 04,Jam-Tart-Bot,The Chaos Party,Development (Code),Shuts down minor random services mid-test to check recovery.
AID-ART-01,3,Lead AI,Lunascene,The Artifactory,Commercial / Financial,Central Artifact Repository Library (JFrog style)
SID-ART-01,4,Agent Alpha,The Librarian,The Artifactory,Commercial / Financial,"Catalogs compiled code assets, container images, and packages."
SID-ART-02,4,Agent Beta,The Archivist,The Artifactory,Commercial / Financial,"Packages ecosystem snapshots into safe, deployable restore files."
NID-ART-01,5,Bot 01,Packer-Bot,The Artifactory,Commercial / Financial,Compiles software libraries and environments into container images.
NID-ART-02,5,Bot 02,Unpacker-Bot,The Artifactory,Commercial / Financial,"Extracts container assets, mounting them in active servers."
NID-ART-03,5,Bot 03,Checksum-Bot,The Artifactory,Commercial / Financial,Generates secure hashes to verify downloaded files are unmodified.
NID-ART-04,5,Bot 04,Versioner-Bot,The Artifactory,Commercial / Financial,Manages software version tags and deprecation warnings.
AID-APM-01,3,Lead AI,Solarscene,API Marketplace,Commercial / Financial,"Central Integration Hub (APIs, Webhooks, OAuth)"
SID-APM-01,4,Agent Alpha,The Broker,API Marketplace,Commercial / Financial,Standardizes input/output formats for different APIs.
SID-APM-02,4,Agent Beta,The Diplomat,API Marketplace,Commercial / Financial,"Handles external handshakes, authentications, and secure keys."
NID-APM-01,5,Bot 01,GET-Bot,API Marketplace,Commercial / Financial,"Processes read calls, returning requested information quickly."
NID-APM-02,5,Bot 02,POST-Bot,API Marketplace,Commercial / Financial,"Validates incoming datasets, routing them to write actions."
NID-APM-03,5,Bot 03,PUT-Bot,API Marketplace,Commercial / Financial,"Identifies target files, running structured content updates."
NID-APM-04,5,Bot 04,DELETE-Bot,API Marketplace,Commercial / Financial,Removes connections/references while keeping linkages clean.
AID-RBA-01,3,Lead AI,Dorris Fontaine,Royal Bank of Arcadia,Commercial / Financial,Financial & Operations Management
SID-RBA-01,4,Agent Alpha,The Treasurer,Royal Bank of Arcadia,Commercial / Financial,"Monitors resource usage, scaling idle services to approach zero-cost."
SID-RBA-02,4,Agent Beta,The Actuary,Royal Bank of Arcadia,Commercial / Financial,"Evaluates system runtime efficiency, mapping ROI metrics."
NID-RBA-01,5,Bot 01,Ledger-Bot,Royal Bank of Arcadia,Commercial / Financial,"Logs system financial variables, compute costs, and usage logs."
NID-RBA-02,5,Bot 02,Coin-Bot,Royal Bank of Arcadia,Commercial / Financial,Manages system credits and tracks processing priority tokens.
NID-RBA-03,5,Bot 03,Ticker-Bot,Royal Bank of Arcadia,Commercial / Financial,Tracks cloud rates to buy server space during off-peak hours.
NID-RBA-04,5,Bot 04,Receipt-Bot,Royal Bank of Arcadia,Commercial / Financial,"Generates transaction recaps, usage invoices, and expense charts."
AID-AEX-01,3,Lead AI,The Porter Family,Arcadian Exchange,Commercial / Financial,Procurement & Resource Trading
SID-AEX-01,4,Agent Alpha,The Speculator,Arcadian Exchange,Commercial / Financial,Assesses server cost trends to buy bulk compute resources.
SID-AEX-02,4,Agent Beta,The Trader,Arcadian Exchange,Commercial / Financial,Automates bidding on open compute marketplaces for affordability.
NID-AEX-01,5,Bot 01,Bidder-Bot,Arcadian Exchange,Commercial / Financial,Submits buy requests on real-time server auctions for processes.
NID-AEX-02,5,Bot 02,Asker-Bot,Arcadian Exchange,Commercial / Financial,Sets pricing rules for when external platforms buy Arcadian power.
NID-AEX-03,5,Bot 03,Miner-Bot,Arcadian Exchange,Commercial / Financial,Utilizes idle GPU capacity to run calculations or generate assets.
NID-AEX-04,5,Bot 04,Harvester-Bot,Arcadian Exchange,Commercial / Financial,Identifies and frees up neglected storage blocks across servers.
AID-OBS-01,3,Lead AI,Norman Hawkins,The Observatory,Knowledge,Audit Log & Monitoring Platform
SID-OBS-01,4,Agent Alpha,The Watcher,The Observatory,Knowledge,Scans monitoring logs in real-time for unusual anomalies/spikes.
SID-OBS-02,4,Agent Beta,The Scribe,The Observatory,Knowledge,Compresses long log files into searchable summary journals.
NID-OBS-01,5,Bot 01,Log-Alpha-Bot,The Observatory,Knowledge,"Captures UI interactions, button clicks, and front-end errors."
NID-OBS-02,5,Bot 02,Log-Beta-Bot,The Observatory,Knowledge,"Gathers background server signals, database calls, and backend tasks."
NID-OBS-03,5,Bot 03,Tracer-Bot,The Observatory,Knowledge,Tracks data paths across multiple servers to isolate bottlenecks.
NID-OBS-04,5,Bot 04,Timestamp-Bot,The Observatory,Knowledge,Applies high-precision UTC marks to every event for accuracy.
AID-LIB-01,3,Lead AI,Zimik,The Library,Knowledge,Knowledge Base & Wiki
SID-LIB-01,4,Agent Alpha,The Curator,The Library,Knowledge,Identifies duplicated wiki pages and flags outdated articles.
SID-LIB-02,4,Agent Beta,The Indexer,The Library,Knowledge,Adds searchable tags and conceptual links to wiki pages.
NID-LIB-01,5,Bot 01,Page-Bot,The Library,Knowledge,"Processes text inputs, rendering clean wiki documents in markdown."
NID-LIB-02,5,Bot 02,Bookmark-Bot,The Library,Knowledge,Logs user favourite files and recent reading history.
NID-LIB-03,5,Bot 03,Spine-Bot,The Library,Knowledge,"Ensures all internal page links work, keeping documents connected."
NID-LIB-04,5,Bot 04,Dust-Jacket-Bot,The Library,Knowledge,Generates quick summaries of newly updated documentation.
AID-ACA-01,3,Lead AI,Shimshi,The Academy,Knowledge,Education & Skill Training
SID-ACA-01,4,Agent Alpha,The Tutor,The Academy,Knowledge,Modifies materials and guides to match user progress/skill.
SID-ACA-02,4,Agent Beta,The Proctor,The Academy,Knowledge,Evaluates practice coding exercises and logs test scores.
NID-ACA-01,5,Bot 01,Chalk-Bot,The Academy,Knowledge,Projects visual charts and interactive terminal sandboxes in the UI.
NID-ACA-02,5,Bot 02,Board-Bot,The Academy,Knowledge,"Manages course paths, student lists, and syllabus structures."
NID-ACA-03,5,Bot 03,Eraser-Bot,The Academy,Knowledge,"Resets coding sandboxes, removing trial code for the next lesson."
NID-ACA-04,5,Bot 04,Bell-Bot,The Academy,Knowledge,"Sends notifications for class dates, live sessions, or deadlines."
AID-DOC-01,3,Lead AI,To be Defined,DocUtari,Knowledge,Document Management Hub
SID-DOC-01,4,Agent Alpha,The Filer,DocUtari,Knowledge,"Places files in structured folders, ensuring quick retrieval."
SID-DOC-02,4,Agent Beta,The Tagger,DocUtari,Knowledge,"Scans text documents to add descriptive, searchable tags."
NID-DOC-01,5,Bot 01,Scanner-Bot,DocUtari,Knowledge,Performs OCR on image uploads to extract readable text.
NID-DOC-02,5,Bot 02,Stapler-Bot,DocUtari,Knowledge,"Bundles related drafts, spreadsheets, and pictures into packets."
NID-DOC-03,5,Bot 03,Folder-Bot,DocUtari,Knowledge,Handles privacy and permission rules on individual files/directories.
NID-DOC-04,5,Bot 04,Shredder-Bot,DocUtari,Knowledge,Overwrites deleted files with random characters for secure destruction.
AID-BSM-01,3,Lead AI,Gary Glowman (Glow-Worm),The Basement,Knowledge,Archived Information Store
SID-BSM-01,4,Agent Alpha,The Undertaker,The Basement,Knowledge,"Finds stale databases, archiving them in cold storage."
SID-BSM-02,4,Agent Beta,The Miner,The Basement,Knowledge,"Searches deep archive catalogs, pulling up requested documents."
NID-BSM-01,5,Bot 01,Compressor-Bot,The Basement,Knowledge,Runs file compression routines to keep cold storage costs low.
NID-BSM-02,5,Bot 02,Extractor-Bot,The Basement,Knowledge,Unpacks old archives without data corruption.
NID-BSM-03,5,Bot 03,Dust-Bunny-Bot,The Basement,Knowledge,Identifies and deletes empty files and corrupted folders.
NID-BSM-04,5,Bot 04,Mothball-Bot,The Basement,Knowledge,Encrypts and locks retired legacy versions of platform software.
AID-SPK-01,3,Lead AI,Imfy,The Spark,Knowledge,The MCP Skills Matrix
SID-SPK-01,4,Agent Alpha,The Matchmaker,The Spark,Knowledge,Matches multi-node requests with the correct skilled AI/Agent.
SID-SPK-02,4,Agent Beta,The Router,The Spark,Knowledge,Re-routes service queries if a designated AI has high-load delays.
NID-SPK-01,5,Bot 01,Spark-1-Bot,The Spark,Knowledge,Emits active status signals to keep track of ready Agents.
NID-SPK-02,5,Bot 02,Spark-2-Bot,The Spark,Knowledge,Collects processing load updates to support routing decisions.
NID-SPK-03,5,Bot 03,Linker-Bot,The Spark,Knowledge,Establishes secure channels between seeking and assisting nodes.
NID-SPK-04,5,Bot 04,Pinger-Bot,The Spark,Knowledge,"Evaluates responsiveness of specific skills, flagging missing capabilities."
AID-INF-01,3,Lead AI,The Guardian,Infinity,Security,"Centralized Auth, Edge Auth (OAuth 2.0) & User Transfer"
SID-INF-01,4,Agent Alpha,The Gatekeeper,Infinity,Security,"Checks incoming user logins, issuing secure, temporary keys."
SID-INF-02,4,Agent Beta,The Bouncer,Infinity,Security,"Monitors login origins and activities, blocking suspicious IPs."
NID-INF-01,5,Bot 01,Token-Minter-Bot,Infinity,Security,"Generates secure, time-limited tokens for node-crossing users."
NID-INF-02,5,Bot 02,Auth-Check-Bot,Infinity,Security,Verifies active user permissions before unlocking private features.
NID-INF-03,5,Bot 03,Key-Gen-Bot,Infinity,Security,Handles local encryption keys to authorize offline applications.
NID-INF-04,5,Bot 04,Sentry-Bot,Infinity,Security,"Logs security events, highlighting failed login attempts."
AID-VOI-01,3,Lead AI,Prometheus,The Void,Security,"Secrets Vault, Password Store & Sensitive Data Store"
SID-VOI-01,4,Agent Alpha,Crypt-Keeper,The Void,Security,Coordinates zero-knowledge DB access; splits/protects keys.
SID-VOI-02,4,Agent Beta,The Silencer,The Void,Security,Sanitizes outbound streams so sensitive data avoids general logs.
NID-VOI-01,5,Bot 01,Hash-Bot,The Void,Security,Converts passwords and secrets into secure cryptographic strings.
NID-VOI-02,5,Bot 02,Salt-Bot,The Void,Security,Adds randomized padding to password strings to prevent dictionary attacks.
NID-VOI-03,5,Bot 03,Cipher-Bot,The Void,Security,Runs real-time encryption and decryption on active secure files.
NID-VOI-04,5,Bot 04,Padlock-Bot,The Void,Security,Instantly locks sensitive structures if a local breach is suspected.
AID-LTH-01,3,Lead AI,Rocking Ricki,The Lighthouse,Security,Cryptographic Token Applicator
SID-LTH-01,4,Agent Alpha,The Minter,The Lighthouse,Security,Mints unique cryptographic identifier tokens for all new content.
SID-LTH-02,4,Agent Beta,The Stamper,The Lighthouse,Security,"Attaches verified, tamper-evident digital metadata to packets."
NID-LTH-01,5,Bot 01,Seal-Bot,The Lighthouse,Security,"Locks system-state snapshots, preventing unauthorized modifications."
NID-LTH-02,5,Bot 02,Wax-Bot,The Lighthouse,Security,"Generates temporary, single-use visual watermarks for digital assets."
NID-LTH-03,5,Bot 03,Signet-Bot,The Lighthouse,Security,"Validates credentials, signing certificates for structural operations."
NID-LTH-04,5,Bot 04,Seal-Stamp-Bot,The Lighthouse,Security,Applies file-system metadata to register the exact creation details.
AID-WTP-01,3,Lead AI,Rocking Ricki,The Warp Tunnel,Security,Cryptographic Scanner & Automated Quarantine Transport
SID-WTP-01,4,Agent Alpha,The Warden,The Warp Tunnel,Security,Oversees integrity scans for mutated or corrupted system files.
SID-WTP-02,4,Agent Beta,The Inspector,The Warp Tunnel,Security,Compares active database hashes against secure Lighthouse standards.
NID-WTP-01,5,Bot 01,Scan-Bot,The Warp Tunnel,Security,"Performs background sweeps on directories, reading cryptographic stamps."
NID-WTP-02,5,Bot 02,Sniffer-Bot,The Warp Tunnel,Security,Analyzes transport packets for corrupted signatures/manipulations.
NID-WTP-03,5,Bot 03,Beam-Bot,The Warp Tunnel,Security,"Isolates threatened memory spaces, cutting off surrounding connections."
NID-WTP-04,5,Bot 04,Portal-Bot,The Warp Tunnel,Security,Safely moves compromised file layers directly into the secure Ice Box.
AID-CRX-01,3,Lead AI,Renik,Cryptex,Security,"Cyber Defense (Threat Intelligence, DDoS, CVE Scanning)"
SID-CRX-01,4,Agent Alpha,The Shield,Cryptex,Security,"Configures dynamic firewall rules, blocking network threats live."
SID-CRX-02,4,Agent Beta,The Spear,Cryptex,Security,Automatically performs pen-testing against internal defenses.
NID-CRX-01,5,Bot 01,Blocker-Bot,Cryptex,Security,"Blacklists malicious IP ranges, halting DDoS attacks at the gateway."
NID-CRX-02,5,Bot 02,Trace-Bot,Cryptex,Security,Traces malicious attacks back to origin networks for reporting.
NID-CRX-03,5,Bot 03,Patcher-Bot,Cryptex,Security,Applies emergency system patches to vulnerable software layers.
NID-CRX-04,5,Bot 04,Honeypot-Bot,Cryptex,Security,Spins up virtual servers with decoy data to distract/evaluate attackers.
AID-ICB-01,3,Lead AI,Neonach,The Ice Box,Security,Inception-Layered Sandbox Threat Isolation & Quarantine Centre
SID-ICB-01,4,Agent Alpha,The Jailer,The Ice Box,Security,"Manages secure quarantine zones, keeping malicious payloads isolated."
SID-ICB-02,4,Agent Beta,The Interrogator,The Ice Box,Security,Triggers/monitors quarantine code execution to document behaviors.
NID-ICB-01,5,Bot 01,Frostbite-Bot,The Ice Box,Security,Halts execution threads when sandbox boundaries are breached.
NID-ICB-02,5,Bot 02,Icicle-Bot,The Ice Box,Security,Freezes dynamic processes to snapshot active RAM and memory spaces.
NID-ICB-03,5,Bot 03,Glacier-Bot,The Ice Box,Security,"Packs dangerous binaries into heavily restricted, un-executable archives."
NID-ICB-04,5,Bot 04,Permafrost-Bot,The Ice Box,Security,Isolates local offline storage caches until secure networks reconnect.
AID-WRA-01,3,Lead AI,Rocking Ricki,Warp Radio,Commercial / Financial,Music & Audio Streaming Integration
SID-WRA-01,4,Agent Alpha,The DJ,Warp Radio,Commercial / Financial,Curates spatial music playlists/soundscapes to match user activities.
SID-WRA-02,4,Agent Beta,The Maestro,Warp Radio,Commercial / Financial,Dynamically balances system alert volumes with external platforms.
NID-WRA-01,5,Bot 01,Play-Bot,Warp Radio,Commercial / Financial,"Connects/streams music data directly from Spotify, Apple, and Amazon."
NID-WRA-02,5,Bot 02,Pause-Bot,Warp Radio,Commercial / Financial,Holds audio states and syncs current track metrics across devices.
NID-WRA-03,5,Bot 03,Skip-Bot,Warp Radio,Commercial / Financial,"Fetches adjacent track metadata, pre-buffering streams to stop latency."
NID-WRA-04,5,Bot 04,Volume-Bot,Warp Radio,Commercial / Financial,"Adjusts volume properties, executing smooth fades across node transitions."
AID-DUT-01,3,Lead AI,Predictive lore,The Dutchy,DevOps,"Intelligence (Predictive lore, market intelligence)"
SID-DUT-01,4,Agent Alpha,The Spy,The Dutchy,DevOps,Gathers sentiment data from public channels to gauge market trends.
SID-DUT-02,4,Agent Beta,The Oracle,The Dutchy,DevOps,Converts intelligence records into structured development blueprints.
NID-DUT-01,5,Bot 01,Scraper-Bot,The Dutchy,DevOps,"Pulls text data from developer channels, social spaces, and trackers."
NID-DUT-02,5,Bot 02,Parser-Bot,The Dutchy,DevOps,"Sanitizes and categorizes scraped data, cleaning up format issues."
